TrialName,Species,Individual,CAA:Sc,CAA:Jc,CAA:St,CAA:Jt,CAA:Hc,CAA:Qc,CAA:Ht,CAA:Qt,CAA:Scpl,CAA:Qcpl,CAA:C,CAA:Sc Hrz,CAA:Sc Vrt,CAA:Jc Hrz,CAA:Jc Vrt,CAA:St Hrz,CAA:St Vrt,CAA:Jt Hrz,CAA:Jt Vrt,CAA:Hc Hrz,CAA:Hc Vrt,CAA:Qc Hrz,CAA:Qc Vrt,CAA:Ht Hrz,CAA:Ht Vrt,CAA:Qt Hrz,CAA:Qt Vrt,CAA:Scpl Hrz,CAA:Scpl Vrt,CAA:Qcpl Hrz,CAA:Qcpl Vrt,CAA:C Hrz,CAA:C Vrt,CAA:PT,CAA:PT Hrz,CAA:PT Vrt,CAA:Asp,VCA:ML,VCA:sL,VCA:CVL,VCA:MDmax,VCA:sDmax,VCA:CVDmax,VCA:MSsat,VCA:sSsat,VCA:CVSsat,VCA:MSL,VCA:sSL,VCA:CVSL,VCA:MS,VCA:sS,VCA:CVS,VCA:ML Hrz,VCA:sL Hrz,VCA:CVL Hrz,VCA:ML Vrt,VCA:sL Vrt,VCA:CVL Vrt,VCA:MDmax Hrz,VCA:sDmax Hrz,VCA:CVDmax Hrz,VCA:MDmax Vrt,VCA:sDmax Vrt,VCA:CVDmax Vrt,VCA:MSsat Hrz,VCA:sSsat Hrz,VCA:CVSsat Hrz,VCA:MSsat Vrt,VCA:sSsat Vrt,VCA:CVSsat Vrt,VCA:MSL Hrz,VCA:sSL Hrz,VCA:CVSL Hrz,VCA:MSL Vrt,VCA:sSL Vrt,VCA:CVSL Vrt,VCA:MS Hrz,VCA:sS Hrz,VCA:CVS Hrz,VCA:MS Vrt,VCA:sS Vrt,VCA:CVS Vrt,BSA:BML,BSA:BsL,BSA:BCVL,BSA:BMDmax,BSA:BsDmax,BSA:BCVDmax,BSA:BMSsat,BSA:BsSsat,BSA:BCVSsat,BSA:BMSL,BSA:BsSL,BSA:BCVSL,BSA:BMS,BSA:BsS,BSA:BCVS,BSA:BML Hrz,BSA:BsL Hrz,BSA:BCVL Hrz,BSA:BML Vrt,BSA:BsL Vrt,BSA:BCVL Vrt,BSA:BMDmax Hrz,BSA:BsDmax Hrz,BSA:BCVDmax Hrz,BSA:BMDmax Vrt,BSA:BsDmax Vrt,BSA:BCVDmax Vrt,BSA:BMSsat Hrz,BSA:BsSsat Hrz,BSA:BCVSsat Hrz,BSA:BMSsat Vrt,BSA:BsSsat Vrt,BSA:BCVSsat Vrt,BSA:BMSL Hrz,BSA:BsSL Hrz,BSA:BCVSL Hrz,BSA:BMSL Vrt,BSA:BsSL Vrt,BSA:BCVSL Vrt,BSA:BMS Hrz,BSA:BsS Hrz,BSA:BCVS Hrz,BSA:BMS Vrt,BSA:BsS Vrt,BSA:BCVS Vrt,Col mean,Col sd,Col CoV,Col skew,Col kurtosis,Lum mean,Lum sd,Lum CoV,Lum skew,Lum kurtosis,Col mean hrz,Col sd hrz,Col CoV hrz,Col skew hrz,Col kurtosis hrz,Col mean vrt,Col sd vrt,Col CoV vrt,Col skew vrt,Col kurtosis vrt,Lum mean hrz,Lum sd hrz,Lum CoV hrz,Lum skew hrz,Lum kurtosis hrz,Lum mean vrt,Lum sd vrt,Lum CoV vrt,Lum skew vrt,Lum kurtosis vrt
Botia_lohachata_C_10,Botia_lohachata,10,1,1,Inf,NA,0,NA,0,NA,Inf,NA,0,1,1,1,1,Inf,Inf,NA,NA,0,0,NA,NA,0,0,NA,NA,Inf,Inf,NA,NA,0,0,Inf,Inf,Inf,NA,0.229805927,NA,NA,0.160148498,NA,NA,2.619870046,NA,NA,NA,NA,NA,NA,NA,NA,0.229805927,NA,NA,0.229805927,NA,NA,0.160148498,NA,NA,0.160148498,NA,NA,2.619870046,NA,NA,2.619870046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0.058425195,0.098426539,1.684659149,3.378892086,20.856522439,0.537068385,0.865597369,1.611707919,2.355144711,10.190808368,0.02666289,0.059861333,2.245117966,6.737540427,75.361247453,0.032887628,0.07080533,2.152947291,4.741788013,34.733488002,0.23561095,0.520331697,2.20843597,4.355522787,28.578072175,0.302577309,0.617121418,2.039549561,3.676587686,20.986643428
Botia_lohachata_C_11,Botia_lohachata,11,1,1,Inf,NA,0,NA,0,NA,Inf,NA,0,1,1,1,1,Inf,Inf,NA,NA,0,0,NA,NA,0,0,NA,NA,Inf,Inf,NA,NA,0,0,Inf,Inf,Inf,NA,0.297645956,NA,NA,0.172745491,NA,NA,2.657321175,NA,NA,NA,NA,NA,NA,NA,NA,0.297645956,NA,NA,0.297645956,NA,NA,0.172745491,NA,NA,0.172745491,NA,NA,2.657321175,NA,NA,2.657321175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0.057670885,0.093663119,1.624097128,2.629659262,14.22451126,0.74442678,1.231710635,1.654575934,2.157631599,8.759457796,0.027251419,0.054990855,2.017907959,4.084251522,27.449279957,0.031743204,0.067138914,2.115064166,4.440076958,32.811305878,0.349398325,0.777314152,2.224722034,3.814050137,21.428247079,0.395879871,0.852369177,2.153100572,3.76636632,21.442908322
Botia_lohachata_C_12,Botia_lohachata,12,1.969643657,0.984821829,1,1,0.685421214,0.988853786,0,NA,0.992410914,NA,0.032155617,1.971013763,1.968205115,0.985506881,0.984102558,1,1,1,1,0.685775922,0.685048165,Inf,Inf,0,0,0,0,0.992753441,0.992051279,Inf,Inf,0.025507521,0.038889777,30.098765432,38.204123711,24.71369863,0.607206707,0.229897117,0.062428372,0.271549172,0.134430675,0.013110416,0.097525482,2.253263373,0.122657558,0.054435518,4.007057367,0,0,0.221869879,0,0,0.230159263,0.062384196,0.271047949,0.230418351,0.062338339,0.27054416,0.134485727,0.013101139,0.097416577,0.134540138,0.013091509,0.097305601,2.253778431,0.122570763,0.054384567,2.254287479,0.122480665,0.054332318,4.007057367,0,0,4.007057367,0,0,0.221869879,0,0,0.221869879,0,0,0.197714418,NA,NA,0.069985058,NA,NA,0.038924497,NA,NA,4.007057367,NA,NA,0.221869879,NA,NA,0.197714418,NA,NA,0.197714418,NA,NA,0.069985058,NA,NA,0.069985058,NA,NA,0.038924497,NA,NA,0.038924497,NA,NA,4.007057367,NA,NA,4.007057367,NA,NA,0.221869879,NA,NA,0.221869879,NA,NA,0.052482111,0.081444264,1.551848106,2.299992908,10.531613354,0.440793298,0.702556949,1.593846711,2.076133324,8.509929506,0.024277727,0.049374702,2.033744891,4.442960272,32.370845219,0.029448963,0.058755243,1.995154926,3.548024658,20.480223423,0.182796723,0.411066734,2.248764238,4.27199856,27.761511105,0.258723342,0.522009107,2.017634368,3.209405728,16.55574439
Botia_lohachata_C_13,Botia_lohachata,13,1,1,Inf,NA,0,NA,0,NA,Inf,NA,0,1,1,1,1,Inf,Inf,NA,NA,0,0,NA,NA,0,0,NA,NA,Inf,Inf,NA,NA,0,0,Inf,Inf,Inf,NA,0.221426207,NA,NA,0.15432522,NA,NA,2.358484909,NA,NA,NA,NA,NA,NA,NA,NA,0.221426207,NA,NA,0.221426207,NA,NA,0.15432522,NA,NA,0.15432522,NA,NA,2.358484909,NA,NA,2.358484909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0.070678224,0.12929968,1.829413247,2.930372322,15.130824765,0.672863863,1.225296814,1.8210174160000001,2.458221614,10.295173916,0.031597499,0.073694242,2.332280884,4.887564741,36.57608209,0.04031023,0.099364068,2.464983896,4.644553839,31.991301131,0.288093592,0.723808438,2.512407275,4.523302665,28.808263999,0.385875478,0.927560538,2.403782025,3.923802764,21.786851994
Botia_lohachata_C_14,Botia_lohachata,14,2.83204243,0.944014143,2.990815952,0.996938651,1.067305903,0.9715037,1.097060524,0.998587523,0.970476397,0.985045611,0.079316617,2.841670117,2.822062219,0.947223372,0.940687406,2.900626133,2.942908807,0.966875378,0.980969602,1.069306663,1.065206443,0.97332487,0.969592689,1.08100978,1.088570536,0.983977506,0.990859602,0.957049375,0.960828504,0.978651188,0.980226146,0.085122798,0.073388473,11.607698608,10.747734139,12.626118068,0.459818692,0.220270186,0.070246436,0.31891032,0.149623555,0.007089745,0.047383883,2.368510824,0.06520329,0.027529235,4.272881873,1.853606021,0.433806989,0.138143489,0.02899193,0.209868235,0.221138012,0.070448416,0.318572168,0.221128328,0.070787503,0.320119561,0.149731726,0.007091418,0.047360828,0.149804708,0.007055035,0.047094881,2.369294191,0.064794922,0.027347774,2.370213962,0.064046726,0.027021496,4.267072721,1.852030025,0.434028231,4.27873794,1.855165773,0.433577798,0.138175396,0.029030314,0.210097561,0.138111325,0.028953132,0.20963619,0.202944166,0.084834835,0.418020566,0.031779829,0.014372106,0.452239889,0.018881522,0.012826031,0.6792901,4.139185918,1.791322862,0.432771781,0.136769431,0.029400939,0.214967179,0.21233148,0.087155938,0.410471112,0.191827168,0.079889074,0.416463814,0.030693248,0.013455134,0.438374408,0.03306662,0.015237941,0.460825475,0.01742911,0.013111065,0.752250942,0.020601551,0.012147711,0.589650291,4.337146224,1.840768059,0.424419184,3.904749922,1.686447016,0.431896293,0.134475703,0.027514731,0.204607454,0.139485797,0.031163072,0.223413943,0.056113874,0.087308263,1.555912229,2.504930291,11.826953607,0.784066326,1.373339477,1.751560335,2.228462245,7.81839609,0.028023967,0.056701468,2.023320515,3.925641374,24.730905638,0.02951096,0.061876897,2.096742912,4.248114902,26.541347514,0.434897856,1.05426632,2.424169966,3.529715289,16.080375112,0.35188964,0.820934938,2.332932952,3.976378202,20.952821332
Botia_lohachata_C_4,Botia_lohachata,4,1.957078331,0.652359444,1.094074961,0.364691654,0.750100553,0.682770947,0.183581305,0.264851838,0.508525549,0.473811393,0.045552422,1.953868453,1.960307782,0.651289484,0.653435927,1.096359494,1.09178699,0.365453165,0.363928997,0.748941391,0.751264666,1.080494031,1.083845809,0.186768986,0.180357177,0.170004458,0.164168177,0.508371325,0.508682462,0.625249244,0.624006993,0.045359564,0.045747589,20.952729319,21.046067416,20.859075536,0.502231133,0.351017008,0.119841192,0.341411354,0.15758086600000001,0.01167659,0.074099037,2.463769284,0.116655986,0.047348584,7.656011075,3.713556822,0.48505113,0.303911923,0.118403891,0.38959936,0.350389945,0.119293575,0.340459472,0.350861667,0.119564376,0.340773549,0.157525972,0.011612071,0.073715276,0.157569267,0.01164158,0.073882298,2.462974791,0.116378632,0.047251248,2.463505714,0.116564973,0.047316705,7.65203438,3.708996582,0.484707255,7.66003699,3.718161308,0.485397305,0.303790554,0.11826448,0.389296106,0.304034794,0.11854467,0.389904947,0.25790266,0.039047466,0.151403888,0.057106966,0.004021055,0.070412696,0.037934942,0.011644394,0.306956957,5.282728824,0.871192678,0.164913382,0.226563674,0.029803381,0.131545276,0.258042176,0.039477544,0.152988728,0.257762672,0.038610104,0.149789354,0.057121333,0.004065344,0.071170334,0.05709255,0.003976017,0.0696416,0.037893336,0.011772649,0.310678597,0.037976688,0.011513968,0.303185161,5.285841585,0.880788218,0.166631596,5.279605534,0.861434656,0.163162693,0.226670162,0.030131643,0.13293167,0.226456827,0.02946956,0.130133239,0.05323346,0.083840005,1.574949374,2.511312778,12.852450187,0.702201128,1.18106879,1.681952282,2.212148334,8.563303722,0.02705367,0.056110061,2.0740277,4.334443203,30.179865716,0.027500843,0.056272237,2.0462004,4.152647,28.920952386,0.344075741,0.793597061,2.306460372,3.973824666,22.245758816,0.359728594,0.792943794,2.204283471,3.749732106,20.385678654
Botia_lohachata_C_5,Botia_lohachata,5,1.077056704,0.359018901,1.767200093,0.589066698,0.183037121,0.166607568,0.696200923,0.63370939,0.4740428,0.400158479,0.005174154,1.078170601,1.075921915,0.3593902,0.358640638,2.147811726,1.492227979,0.715937242,0.497409326,0.184953526,0.18103148,0.168351954,0.261173219,0.855516681,0.511740073,0.778724842,0.465805889,0.537663721,0.428024982,0.473538398,0.363489554,0.004256385,0.00610687,192.268292683,233.941176471,162.75,0.589731233,0.338400193,0.059388689,0.17549839,0.163712415,0.00763067,0.04661021,2.584820822,0.061283718,0.023709078,12.24650927,2.883381808,0.235445199,0.431984502,0.138141643,0.319783794,0.339321261,0.056705116,0.167113359,0.339516752,0.056294209,0.165806867,0.163801991,0.007289032,0.044499045,0.163776146,0.007451292,0.045496806,2.585000397,0.058439838,0.022607284,2.584433354,0.058829505,0.022763019,12.243031025,2.887263861,0.235829171,12.250050739,2.879417339,0.235053503,0.431933651,0.13813701,0.319810716,0.432036278,0.138146331,0.319756321,0.403616549,0.151368878,0.375031397,0.056880062,0.06986232,1.228239165,0.049907377,0.035867558,0.718682486,8.715916748,3.508349386,0.402522131,0.379996915,0.11721646,0.308466873,0.383000525,0.17118246,0.44695098,0.418219565,0.153250102,0.366434558,0.07355342,0.076173142,1.035616587,0.045069767,0.070458883,1.56332919,0.057407899,0.038177381,0.665019657,0.044594506,0.037651402,0.844305831,8.274256116,4.024032046,0.48633158,9.028759695,3.502962835,0.3879783,0.407689179,0.127283348,0.312206833,0.360381562,0.118907849,0.329949868,0.05513108,0.092339203,1.674902868,3.076966842,16.028711475,0.505130128,0.826537932,1.636287141,2.808016018,15.883382195,0.026204346,0.05838748,2.228160135,5.695057374,47.32487772,0.030001899,0.065445595,2.181381715,4.553476591,30.961037673,0.204371535,0.492255475,2.408630314,6.091371563,64.432688556,0.302018426,0.609682888,2.018694343,3.760680345,22.881938365
Botia_lohachata_C_6,Botia_lohachata,6,1.391853205,0.463951068,1.112600683,0.370866894,0.506292607,0.460847391,0.217453075,0.197934319,0.417408981,0.329390855,0.026759433,1.397396244,1.386197009,0.465798748,0.46206567,1.186604508,1.054350004,0.395534836,0.351450001,0.508613212,0.50383453,0.462959697,0.458609953,0.303803919,0.12924403,0.276534244,0.117642986,0.430666792,0.406757835,0.369746971,0.288126469,0.024106352,0.029446972,36.37,40.482843137,32.959349593,0.551220513,0.348671443,0.079650233,0.228439221,0.180118667,0.010436628,0.057943067,2.838238066,0.089515332,0.03153905,8.797333114,4.779842425,0.543328571,0.385515749,0.278795791,0.723176141,0.350647345,0.077347219,0.220584071,0.351136166,0.077384731,0.220383824,0.180338478,0.010071588,0.055848249,0.180339804,0.010296732,0.057096278,2.84019504,0.086471267,0.030445538,2.840289355,0.088130446,0.031028686,8.788818578,4.776184684,0.543438762,8.806005696,4.783541815,0.543213573,0.385173016,0.278631391,0.723392812,0.385864843,0.278962494,0.722953903,0.255618191,0.041890952,0.16388095,0.042500399,0.026969628,0.634573521,0.024031422,0.011130578,0.463167659,5.237410659,0.954771199,0.182298327,0.174724445,0.08924755,0.51079029,0.260172803,0.050873227,0.195536298,0.251841195,0.031885344,0.12660893,0.045630407,0.033422029,0.732450828,0.039904783,0.019542941,0.489739323,0.025311418,0.013751127,0.54327761,0.022969962,0.008129596,0.353922901,5.339140036,1.152942348,0.215941582,5.153049712,0.735978586,0.142823886,0.185019656,0.110373449,0.596549855,0.166186954,0.0650137,0.391208209,0.058485855,0.090310848,1.544148538,2.090697486,8.840141053,0.623557252,1.009427044,1.618820149,2.08472121,8.722451316,0.02854792,0.058859008,2.061761698,3.826467679,22.420900385,0.030887518,0.05996712,1.9414677360000001,3.533444141,20.681369304,0.294025164,0.667378734,2.269801416,4.073072345,25.742812994,0.330914749,0.661957642,2.000387241,3.230180986,16.368239361
Botia_lohachata_C_7,Botia_lohachata,7,1,1,Inf,NA,0,NA,0,NA,Inf,NA,0,1,1,1,1,Inf,Inf,NA,NA,0,0,NA,NA,0,0,NA,NA,Inf,Inf,NA,NA,0,0,Inf,Inf,Inf,NA,0.150682114,NA,NA,0.15987463700000001,NA,NA,2.683425594,NA,NA,NA,NA,NA,NA,NA,NA,0.150682114,NA,NA,0.150682114,NA,NA,0.15987463700000001,NA,NA,0.15987463700000001,NA,NA,2.683425594,NA,NA,2.683425594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0.068482479,0.11416794,1.667111673,2.83130419,14.46550184,0.559205832,0.940800231,1.682386299,2.322224321,9.339044059,0.031721972,0.074515198,2.349008973,5.580252081,47.676322382,0.038342028,0.081846083,2.134631012,4.0469847,24.711916572,0.257241016,0.611323544,2.37646217,4.109142529,23.570447387,0.303387169,0.671047477,2.211851868,3.75941264,20.714776395
Botia_lohachata_C_8,Botia_lohachata,8,2.707374379,0.676843595,2.130987828,0.355164638,1.089676808,0.786035664,0.853134255,0.530082117,0.516004116,0.65805889,0.055031447,2.706306119,2.708350427,0.67657653,0.677087607,2.173423684,2.096499182,0.362237281,0.34941653,1.087290723,1.092047574,0.67557171,0.678527308,0.88673398,0.813993243,0.639643358,0.587172008,0.519406905,0.513252069,0.657607534,0.632849658,0.047244519,0.062919509,17.171428571,20.166476625,14.893321769,0.575202299,0.329411236,0.108598408,0.329674267,0.150953151,0.015536925,0.102925476,2.489277227,0.192471958,0.077320419,5.583329846,2.698212641,0.483262267,0.298789691,0.119737669,0.400742301,0.329688075,0.108367746,0.328697802,0.33002874,0.108509083,0.328786768,0.150973323,0.015533466,0.102888814,0.151062193,0.01549748,0.102590063,2.489287156,0.192484415,0.077325115,2.490548692,0.192128197,0.07714292,5.580081166,2.695570575,0.483070137,5.586675767,2.700925643,0.483458456,0.298895309,0.119891973,0.401116944,0.298680912,0.119578407,0.400355036,0.194517561,0.026086785,0.134110178,0.063010736,0.008779849,0.139338938,0.046978476,0.011957558,0.254532702,3.943634184,0.565457237,0.14338481,0.258925378,0.052776518,0.203829065,0.194963668,0.028113429,0.144198298,0.194178241,0.024426149,0.125792409,0.062113984,0.008381854,0.134943102,0.063692828,0.008996382,0.141246383,0.046104646,0.011955118,0.259303975,0.047643133,0.011905855,0.249896564,3.953357629,0.607843034,0.153753617,3.936238294,0.53080769,0.134851513,0.256001457,0.048362792,0.18891608,0.261149384,0.055772692,0.213566241,0.050651706,0.080110918,1.581603543,2.536524275,12.947599019,0.553551924,0.923698966,1.668676282,2.240871855,9.035095087,0.022159505,0.044589175,2.012191874,4.507951169,33.360873399,0.029632579,0.060036162,2.026018774,4.02094188,27.288700414,0.223081428,0.526517888,2.360204935,4.66780362,32.22432902,0.331327041,0.694863936,2.097214688,3.389370514,17.184619599
