Name, ,Image,ClusterID,Area,Coverage (pc),lw_mean,mw_mean,sw_mean,lum_mean,RNL X,RNL Y,RNL Chromaticity,Dmax Chromaticity,Dmax channel,Adj1,Adj2,Adj3,Adj4,hAdj1,hAdj2,hAdj3,hAdj4,vAdj1,vAdj2,vAdj3,vAdj4,Adj5,hAdj5,vAdj5,Adj6,hAdj6,vAdj6,Adj7,hAdj7,vAdj7
Botia_lohachata_C_10,1,Botia_lohachata_C_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,300057,60.879912837,0.200343732,0.166068011,0.145876316,0.182281466,2.166660966,-1.492653876,2.631052134,0.157320224,lw:sw,590792,13875,2040,315.0,296343,6162,889,84.0,294449,7713,1151,231.0,,,,,,,,,
Botia_lohachata_C_10,2,Botia_lohachata_C_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,175432,35.594186667,0.343298153,0.286557288,0.246559294,0.313397463,2.086105092,-1.586684712,2.620954564,0.164003793,lw:sw,13875,343872,0,0.0,6162,172337,0,0.0,7713,171535,0,0.0,,,,,,,,,
Botia_lohachata_C_10,3,Botia_lohachata_C_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,3,13033,2.644323925,0.09392543,0.077388009,0.070953044,0.085210008,2.236315134,-1.265275144,2.569440906,0.1393292,lw:sw,2040,0,24384,433.0,889,0,12370,131.0,1151,0,12014,302.0,,,,,,,,,
Botia_lohachata_C_10,4,Botia_lohachata_C_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,4,4345,0.881576571,0.039725012,0.028957734,0.029205655,0.034043259,3.650536395,-1.18505777,3.838069552,0.156768314,lw:mw,315,0,433,7993.0,84,0,131,4155.0,231,0,302,3838.0,,,,,,,,,
Botia_lohachata_C_11,1,Botia_lohachata_C_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,95018,26.523929823,0.163230506,0.135495169,0.117154673,0.148614749,2.150382094,-1.579746522,2.66828451,0.16433049,lw:sw,182948,549,10941,27.0,91997,208,5198,5.0,90951,341,5743,22.0,814.0,182.0,632.0,,,,,,
Botia_lohachata_C_11,2,Botia_lohachata_C_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,109469,30.557874021,0.396677148,0.335555082,0.282522385,0.3644677,1.932248979,-1.66174606,2.548526257,0.1680725,lw:sw,549,209517,12880,5326.0,208,105274,5861,2307.0,341,104243,7019,3019.0,0.0,0.0,0.0,,,,,,
Botia_lohachata_C_11,3,Botia_lohachata_C_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,3,105434,29.431518417,0.271264909,0.227798516,0.193902055,0.24835945,2.016516488,-1.626266091,2.590575254,0.166312014,lw:sw,10941,12880,198460,93.0,5198,5861,99813,26.0,5743,7019,98647,67.0,73.0,40.0,33.0,,,,,,
Botia_lohachata_C_11,4,Botia_lohachata_C_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,4,42455,11.851159155,0.630686291,0.521067501,0.429529683,0.572920562,2.204672106,-1.877904692,2.896049918,0.189731727,lw:sw,27,5326,93,82187.0,5,2307,26,41286.0,22,3019,67,40901.0,0.0,0.0,0.0,,,,,,
Botia_lohachata_C_11,5,Botia_lohachata_C_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,5,5859,1.635518584,0.046233671,0.03390637,0.034446812,0.039730841,3.580812056,-1.118760266,3.75151163,0.153821994,lw:mw,814,0,73,0.0,182,0,40,0.0,632,0,33,0.0,10893.0,5674.0,5219.0,,,,,,
Botia_lohachata_C_12,1,Botia_lohachata_C_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,72017,17.861536325,0.142397834,0.120522359,0.111038744,0.130870043,1.925931532,-1.131805891,2.233874849,0.123735453,lw:sw,137729,9696,9,166.0,69570,4283,1,57.0,68159,5413,8,109.0,,,,,,,,,
Botia_lohachata_C_12,2,Botia_lohachata_C_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,230445,57.154584867,0.230705372,0.196709878,0.17706577,0.212790791,1.840737324,-1.239238777,2.219014791,0.131543399,lw:sw,9696,450329,10533,44.0,4283,225940,4552,30.0,5413,224389,5981,14.0,,,,,,,,,
Botia_lohachata_C_12,3,Botia_lohachata_C_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,3,99867,24.768846913,0.357904551,0.303488828,0.266125628,0.329229138,1.904362032,-1.414099984,2.37197671,0.147074495,lw:sw,9,10533,194448,2.0,1,4552,97582,2.0,8,5981,96866,0.0,,,,,,,,,
Botia_lohachata_C_12,4,Botia_lohachata_C_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,4,867,0.215031895,0.042634489,0.033820278,0.033860975,0.037984419,2.674337731,-0.897707874,2.82098595,0.11528661,lw:mw,166,44,2,1572.0,57,30,2,804.0,109,14,0,768.0,,,,,,,,,
Botia_lohachata_C_13,1,Botia_lohachata_C_13_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,152201,25.669692927,0.123149377,0.100852935,0.086063905,0.111399588,2.306352405,-1.709465266,2.870807014,0.177261557,lw:sw,294121,18018,21,344.0,147801,8149,7,109.0,146320,9869,14,235.0,19.0,5.0,14.0,,,,,,
Botia_lohachata_C_13,2,Botia_lohachata_C_13_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,314847,53.101003338,0.230040549,0.197360616,0.170361495,0.212819222,1.769278088,-1.460595425,2.294271986,0.149047824,lw:sw,18018,613244,12849,65.0,8149,307953,5345,31.0,9869,305291,7504,34.0,1.0,1.0,0.0,,,,,,
Botia_lohachata_C_13,3,Botia_lohachata_C_13_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,3,124030,20.918469746,0.392548414,0.339211307,0.288218844,0.364441399,1.68629664,-1.525066543,2.273636805,0.153252919,lw:sw,21,12849,241569,0.0,7,5345,121321,0.0,14,7504,120248,0.0,0.0,0.0,0.0,,,,,,
Botia_lohachata_C_13,4,Botia_lohachata_C_13_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist100_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,4,983,0.165789372,0.052507791,0.041077037,0.038876637,0.046477681,2.834950081,-1.281705962,3.111223575,0.149162764,lw:sw,344,65,0,1561.0,109,31,0,847.0,235,34,0,714.0,186.0,75.0,111.0,,,,,,
