Name, ,Image,ClusterID,Area,Coverage (pc),lw_mean,mw_mean,sw_mean,lum_mean,RNL X,RNL Y,RNL Chromaticity,Dmax Chromaticity,Dmax channel,Adj1,hAdj1,vAdj1,Adj2,hAdj2,vAdj2,Adj3,hAdj3,vAdj3,Adj4,hAdj4,vAdj4
Botia_lohachata_C_10,1,Botia_lohachata_C_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,23367,100.0,0.252128194,0.209768573,0.182519947,0.229805927,2.123886309,-1.533892436,2.619870046,0.160148498,lw:sw,46293,23281,23012,,,,,,,,,
Botia_lohachata_C_11,1,Botia_lohachata_C_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,16754,100.0,0.325455473,0.27268308,0.229576246,0.297645956,2.042856319,-1.699439286,2.657321175,0.172745491,lw:sw,33127,16675,16452,,,,,,,,,
Botia_lohachata_C_12,1,Botia_lohachata_C_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,10649,55.768525792,0.292476303,0.248325715,0.219433559,0.269210293,1.889591714,-1.364073276,2.330504827,0.14268673,lw:sw,20555,10388,10167,1215.0,485.0,730.0,,,,,,
Botia_lohachata_C_12,2,Botia_lohachata_C_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,8446,44.231474208,0.195354917,0.166842565,0.152245152,0.180329746,1.821752076,-1.152829277,2.155874757,0.124021163,lw:sw,1215,485,730,16015.0,8141.0,7874.0,,,,,,
Botia_lohachata_C_13,1,Botia_lohachata_C_13_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,27734,100.0,0.239707661,0.205016123,0.175613181,0.221426207,1.805171977,-1.517829108,2.358484909,0.15432522,lw:sw,54975,27632,27343,,,,,,,,,
Botia_lohachata_C_14,1,Botia_lohachata_C_14_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,2840,36.289292103,0.166975035,0.141399785,0.124049201,0.153497327,1.919737459,-1.416586503,2.385814165,0.147499173,lw:sw,5119,2555,2564,429.0,229.0,200.0,416.0,266.0,150.0,,,
Botia_lohachata_C_14,2,Botia_lohachata_C_14_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,1815,23.191924355,0.230666366,0.197046831,0.173436303,0.212949804,1.819022235,-1.363282121,2.273187197,0.141622582,lw:sw,429,229,200,3160.0,1613.0,1547.0,376.0,167.0,209.0,,,
Botia_lohachata_C_14,3,Botia_lohachata_C_14_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,3,3171,40.518783542,0.3084295,0.262570301,0.225136746,0.284263064,1.85878454,-1.530142141,2.407574493,0.15610574,lw:sw,416,266,150,376.0,167.0,209.0,5894.0,2947.0,2947.0,,,
Botia_lohachata_C_4,1,Botia_lohachata_C_4_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,12068,61.240231402,0.309221347,0.262597351,0.227893923,0.284651833,1.887202427,-1.469032954,2.391566603,0.151415214,lw:sw,22930,11563,11367,1697.0,849.0,848.0,80.0,41.0,39.0,,,
Botia_lohachata_C_4,2,Botia_lohachata_C_4_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,7191,36.491423932,0.519435154,0.437685284,0.368832711,0.476355481,1.977343275,-1.67189572,2.58942498,0.169546202,lw:sw,1697,849,848,13487.0,6760.0,6727.0,0.0,0.0,0.0,,,
Botia_lohachata_C_4,3,Botia_lohachata_C_4_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist500_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,3,447,2.268344667,0.138332055,0.115646438,0.10616799,0.126377128,2.068305931,-1.200826509,2.391625751,0.131550343,lw:sw,80,41,39,0.0,0.0,0.0,816.0,408.0,408.0,,,
