Name, ,Image,Pass,ClusterID,lw_mean,lw_sd,mw_mean,mw_sd,sw_mean,sw_sd,lum_mean,lum_sd,Area,Coverage (pc),RNL X,RNL Y,RNL Saturation,Dmax Chromaticity,Dmax channel
Botia_lohachata_C_10,1,Botia_lohachata_C_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.30909146,0.054973049,0.257046966,0.045327306,0.221049963,0.038976876,0.281665586,0.049795674,8954,46.372158051,2.129032045,-1.604337019,2.665834714,0.166071719,lw:sw
Botia_lohachata_C_10,2,Botia_lohachata_C_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.203718904,0.031133074,0.169579178,0.026945555,0.149743173,0.02379679,0.185728241,0.028877051,10203,52.840644836,2.117978854,-1.445479038,2.564223873,0.152705859,lw:sw
Botia_lohachata_C_10,3,Botia_lohachata_C_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,3,0.09826458,0.005739471,0.083151251,0.005063868,0.079378837,0.004995117,0.090300271,0.005338567,152,0.787197709,1.928389853,-0.924459399,2.138530478,0.106312653,lw:sw
Botia_lohachata_C_11,1,Botia_lohachata_C_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.257165462,0.052331977,0.21640613,0.044333154,0.184138202,0.035953215,0.235686413,0.048090474,8277,59.709999084,1.992596611,-1.620294559,2.568228127,0.165480747,lw:sw
Botia_lohachata_C_11,2,Botia_lohachata_C_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.425342194,0.085539019,0.355068549,0.067609204,0.296025964,0.055057997,0.388310135,0.075993716,5585,40.290000916,2.08520782,-1.771126552,2.735869316,0.179265231,lw:sw
Botia_lohachata_C_12,1,Botia_lohachata_C_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.290652824,0.040788442,0.246551407,0.032951979,0.217977726,0.027648129,0.267412727,0.036539212,8986,56.877017975,1.900175682,-1.364641306,2.339425895,0.142883864,lw:sw
Botia_lohachata_C_12,2,Botia_lohachata_C_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.196299983,0.026350477,0.167994656,0.022604039,0.153262838,0.019677714,0.181383907,0.024334922,6813,43.122982025,1.798016998,-1.146084227,2.132222826,0.123117055,lw:sw
Botia_lohachata_C_13,1,Botia_lohachata_C_13_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.221998061,0.018241062,0.190561657,0.015624031,0.164154602,0.014296253,0.205431993,0.016773296,7853,34.205940247,1.763156413,-1.470578842,2.29593612,0.149794279,lw:sw
Botia_lohachata_C_13,2,Botia_lohachata_C_13_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.324135301,0.053542934,0.278428905,0.044234927,0.236463945,0.036225739,0.300049424,0.048561163,8027,34.963848114,1.75513614,-1.551073583,2.342292067,0.156388644,lw:sw
Botia_lohachata_C_13,3,Botia_lohachata_C_13_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,3,0.161728254,0.023655573,0.136160211,0.021607307,0.117929643,0.019235702,0.148254491,0.022531919,7078,30.830211639,1.987082217,-1.514556959,2.498475239,0.156614963,lw:sw
Botia_lohachata_C_14,1,Botia_lohachata_C_14_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,7,1,0.237892102,0.063477241,0.202398411,0.053892996,0.175587359,0.044759161,0.219187847,0.058390048,6506,100.0,1.865767039,-1.463889464,2.371509858,0.15068401,lw:sw
Botia_lohachata_C_4,1,Botia_lohachata_C_4_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.316860088,0.051981657,0.269275716,0.044837316,0.2334391,0.037847247,0.291784479,0.048159501,9375,57.501228333,1.878992576,-1.472542962,2.387256977,0.15159206,lw:sw
Botia_lohachata_C_4,2,Botia_lohachata_C_4_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.508362979,0.083409157,0.428251246,0.0676379,0.361017794,0.055383114,0.46614655,0.075012434,6069,37.223995209,1.980158628,-1.670655793,2.590775747,0.169482911,lw:sw
Botia_lohachata_C_4,3,Botia_lohachata_C_4_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,3,0.170879425,0.031750961,0.143341894,0.026764858,0.130304646,0.023279931,0.156367822,0.029120255,860,5.27477932,2.029116827,-1.245243652,2.38074502,0.134717545,lw:sw
Botia_lohachata_C_5,1,Botia_lohachata_C_5_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.431515272,0.077811028,0.361889748,0.064539564,0.308786781,0.055847154,0.394824761,0.070745263,6123,61.711349487,2.031862174,-1.617278306,2.596931461,0.165781644,lw:sw
