Name, ,ClusterID_Particle#,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Area (px)
Botia_lohachata_C_10,1,1_1,104.104712911,47.184201792,104.104712911,47.184201792,1171.269119346,231.157173808,66.383762789,172.112036499,0.110396575,332.284516642,0,0,166.423785752,78.0,3.482134246,0.287180197,0.612305035,12052
Botia_lohachata_C_10,2,1_2,278.548480084,22.599580713,278.548480084,22.599580713,577.788888605,97.280060206,49.945303204,168.736784718,0.143641476,168.240898714,167,0,158.008870083,63.0,1.947731898,0.513417684,0.528312336,3816
Botia_lohachata_C_10,3,1_3,178.543062201,34.543062201,178.543062201,34.543062201,66.183766184,28.561257158,9.31706414,18.918488398,0.599588364,27.856776554,165,40,21.037511025,10.49975301,3.065478216,0.326213377,0.876310273,209
Botia_lohachata_C_10,4,1_4,239.365030675,38.843558282,239.365030675,38.843558282,51.69848481,21.165762411,9.805365938,0.25430552,0.766375899,21.213203436,229,37,171.869897646,10.0,2.15858975,0.463265426,0.903047091,163
Botia_lohachata_C_10,5,2_1,175.185286012,29.981414264,175.185286012,29.981414264,1478.867099092,296.783075139,63.82434274,177.961995891,0.085480476,332.284516642,0,0,166.423785752,78.0,4.649998142,0.215053849,0.590497738,14877
Botia_lohachata_C_10,6,2_2,31.078947368,55.850877193,31.078947368,55.850877193,38.627416998,14.419163839,10.066416453,12.229227144,0.960115275,15.231546212,24,58,23.198590514,10.0,1.432402872,0.698127614,0.94214876,114
Botia_lohachata_C_10,7,3_1,162.449125469,38.881558981,162.449125469,38.881558981,836.426406871,362.283683575,88.009662386,179.86893295,0.449804094,332.284516642,0,0,166.423785752,78.0,4.11640806,0.242930241,0.993966817,25042
Botia_lohachata_C_11,1,1_1,55.002170767,9.670767004,55.002170767,9.670767004,400.610173055,119.259038425,22.131870348,3.065242605,0.162317453,142.337626789,0,48,19.707978843,47.453842755,5.388565745,0.185578138,0.437065149,2073
Botia_lohachata_C_11,2,1_2,217.652402981,17.83924441,217.652402981,17.83924441,605.931024229,131.841363563,37.576788761,175.002813259,0.133175617,153.792067416,131,6,159.44395478,59.120490714,3.508585164,0.285015171,0.610257215,3891
Botia_lohachata_C_11,3,1_3,89.254237288,30.122881356,89.254237288,30.122881356,144.066017178,46.536839134,19.370752601,20.304257473,0.428666971,52.554733374,64,44,21.194056482,27.083901213,2.402428036,0.416245559,0.697193501,708
