Name, ,Image,Col mean,Col sd,Col CoV,Col skew,Col kurtosis,Lum mean,Lum sd,Lum CoV,Lum skew,Lum kurtosis,Col mean hrz,Col sd hrz,Col CoV hrz,Col skew hrz,Col kurtosis hrz,Col mean vrt,Col sd vrt,Col CoV vrt,Col skew vrt,Col kurtosis vrt,Lum mean hrz,Lum sd hrz,Lum CoV hrz,Lum skew hrz,Lum kurtosis hrz,Lum mean vrt,Lum sd vrt,Lum CoV vrt,Lum skew vrt,Lum kurtosis vrt,Transform,Col thresh,Lum thresh
Botia_lohachata_C_10,1,Botia_lohachata_C_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.056228548,0.091048038,1.619249325,3.048402955,17.556796285,0.530834432,0.847086985,1.595764958,2.302809044,9.784178283,0.025754862,0.054944126,2.133349629,6.04058442,62.317433608,0.031598514,0.066025385,2.089509158,4.437042245,30.905996446,0.233908253,0.515563214,2.204125798,4.300194171,27.608743628,0.298193676,0.605853414,2.031744678,3.60949335,20.318096671,none,0,0
Botia_lohachata_C_11,1,Botia_lohachata_C_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.056548609,0.091441351,1.617039801,2.585395231,13.632617283,0.728395908,1.187719836,1.630596524,2.086319491,8.387644651,0.02694426,0.053905029,2.000612735,3.950322248,25.677554548,0.030868151,0.06516316,2.111016004,4.414009808,31.870103949,0.343858018,0.755585877,2.197377513,3.714629101,20.564035445,0.385425421,0.818596456,2.123877697,3.70562252,20.977710103,none,0,0
Botia_lohachata_C_12,1,Botia_lohachata_C_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.051176564,0.079622024,1.555829802,2.294248143,10.463735704,0.425934295,0.674120797,1.582687293,2.043472574,8.34437565,0.023707426,0.047814866,2.016872946,4.26882398,29.81666928,0.028684745,0.05784314,2.016512244,3.58192225,20.786104177,0.176816094,0.39709475,2.245806594,4.223479577,26.980749942,0.249821043,0.500328894,2.002749206,3.147401572,16.000449338,none,0,0
Botia_lohachata_C_13,1,Botia_lohachata_C_13_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.066169846,0.119028706,1.79883606,2.953474551,15.902888743,0.656512292,1.179229571,1.796203339,2.408621568,10.066188009,0.029679941,0.068022107,2.291854492,4.88236171,37.820252744,0.037673991,0.090799638,2.410141211,4.662397928,33.284456187,0.281603729,0.702100029,2.493219933,4.466477872,28.028825472,0.375820997,0.89057714,2.369684361,3.858671553,21.340165261,none,0,0
Botia_lohachata_C_14,1,Botia_lohachata_C_14_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.055214406,0.086821919,1.572450464,2.56239843,12.119975,0.746705092,1.275068661,1.707593365,2.122842524,7.364602925,0.027436609,0.055808414,2.034085698,4.03445274,26.319571397,0.029070688,0.061920339,2.12999222,4.375730575,27.877991965,0.413935485,0.976452268,2.358947963,3.386919813,15.096039673,0.335098787,0.763296801,2.277826216,3.873061505,20.278590349,none,0,0
Botia_lohachata_C_4,1,Botia_lohachata_C_4_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.052016991,0.081990907,1.576233195,2.483997024,12.348506482,0.68805962,1.148590908,1.669318871,2.185882098,8.428451817,0.026306193,0.054216092,2.060963058,4.299959742,30.192293246,0.026976238,0.055386379,2.053154269,3.954292523,25.260343673,0.336792905,0.77743385,2.30834391,3.94040817,22.02297535,0.352751579,0.771479012,2.187032057,3.668794051,19.487874783,none,0,0
Botia_lohachata_C_5,1,Botia_lohachata_C_5_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.053611863,0.091259913,1.702233562,3.039968472,15.332159357,0.500669681,0.824060678,1.645916879,2.798030865,15.626775576,0.025626192,0.057980319,2.262541321,5.651945792,45.893797506,0.029055843,0.064424148,2.217252796,4.447865173,29.166950736,0.200402707,0.484098944,2.415630767,6.141210928,65.654024914,0.30169108,0.617546328,2.046949241,3.715012389,21.858160938,none,0,0
Botia_lohachata_C_6,1,Botia_lohachata_C_6_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.057560207,0.089143798,1.548705308,2.137557491,9.224016724,0.609362385,0.97711872,1.603510068,2.102437784,9.231646546,0.028311972,0.058756038,2.075307125,3.855059734,22.788034855,0.030169295,0.058273489,1.931549566,3.610143976,21.916574885,0.287026126,0.648659796,2.259932935,4.15419432,27.819376276,0.323711368,0.640435434,1.978415027,3.198989937,16.288458793,none,0,0
Botia_lohachata_C_7,1,Botia_lohachata_C_7_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,0.066507063,0.107090113,1.610206635,2.56147995,11.971061883,0.541129926,0.89263934,1.649584133,2.333048302,9.594023323,0.030492289,0.068115769,2.233868638,4.991787936,38.359156876,0.037640487,0.078353698,2.081633466,3.812666746,21.940682717,0.247148107,0.575843725,2.329954022,4.125268721,24.102629423,0.295148995,0.642915758,2.178275274,3.826691541,21.770123218,none,0,0
Botia_lohachata_C_8,1,Botia_lohachata_C_8_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_t1_WeberFiltered_itr5_rad5_fall3,0.052035229,0.08383627,1.611144448,2.670314255,14.06963121,0.549336516,0.907037219,1.651150421,2.203750574,8.892511804,0.022445808,0.045260033,2.016413629,4.358306367,30.35675007,0.030744598,0.064218991,2.088789414,4.269188095,29.820305018,0.216443173,0.506573468,2.340445586,4.618183069,32.108274096,0.333673718,0.697123592,2.089237345,3.370446371,17.063756694,none,0,0
