Name, ,Image,ClusterID,Area,Coverage (pc),lw_mean,mw_mean,sw_mean,lum_mean,RNL X,RNL Y,RNL Chromaticity,Dmax Chromaticity,Dmax channel,Adj1,Adj2,Adj3,hAdj1,hAdj2,hAdj3,vAdj1,vAdj2,vAdj3,Adj4,hAdj4,vAdj4
Botia_lohachata_C_10,1,Botia_lohachata_C_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,8954,46.372158061,0.30909146,0.257046966,0.221049963,0.281665586,2.129032045,-1.604337019,2.665834714,0.166071719,lw:sw,17166,1334.0,0.0,8650,573.0,0.0,8516,761.0,0.0,,,
Botia_lohachata_C_10,2,Botia_lohachata_C_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,10203,52.840644259,0.203718904,0.169579178,0.149743173,0.185728241,2.117978854,-1.445479038,2.564223873,0.152705859,lw:sw,1334,19414.0,41.0,573,9856.0,28.0,761,9558.0,13.0,,,
Botia_lohachata_C_10,3,Botia_lohachata_C_10_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,3,152,0.78719768,0.09826458,0.083151251,0.079378837,0.090300271,1.928389853,-0.924459399,2.138530478,0.106312653,lw:sw,0,41.0,262.0,0,28.0,124.0,0,13.0,138.0,,,
Botia_lohachata_C_11,1,Botia_lohachata_C_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,8277,59.709998557,0.257165462,0.21640613,0.184138202,0.235686413,1.992596611,-1.620294559,2.568228127,0.165480747,lw:sw,15549,1406.0,,7882,651.0,,7667,755.0,,,,
Botia_lohachata_C_11,2,Botia_lohachata_C_11_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,5585,40.290001443,0.425342194,0.355068549,0.296025964,0.388310135,2.08520782,-1.771126552,2.735869316,0.179265231,lw:sw,1406,10422.0,,651,5257.0,,755,5165.0,,,,
Botia_lohachata_C_12,1,Botia_lohachata_C_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,8986,56.877017533,0.290652824,0.246551407,0.217977726,0.267412727,1.900175682,-1.364641306,2.339425895,0.142883864,lw:sw,17345,1023.0,,8768,409.0,,8577,614.0,,,,
Botia_lohachata_C_12,2,Botia_lohachata_C_12_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,6813,43.122982467,0.196299983,0.167994656,0.153262838,0.181383907,1.798016998,-1.146084227,2.132222826,0.123117055,lw:sw,1023,12861.0,,409,6548.0,,614,6313.0,,,,
Botia_lohachata_C_13,1,Botia_lohachata_C_13_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,1,7853,34.205941284,0.221998061,0.190561657,0.164154602,0.205431993,1.763156413,-1.470578842,2.29593612,0.149794279,lw:sw,13999,1453.0,1489.0,7181,628.0,641.0,6818,825.0,848.0,,,
Botia_lohachata_C_13,2,Botia_lohachata_C_13_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,2,8027,34.963847025,0.324135301,0.278428905,0.236463945,0.300049424,1.75513614,-1.551073583,2.342292067,0.156388644,lw:sw,1453,15079.0,327.0,628,7633.0,127.0,825,7446.0,200.0,,,
Botia_lohachata_C_13,3,Botia_lohachata_C_13_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3_FishOutline,3,7078,30.830211691,0.161728254,0.136160211,0.117929643,0.148254491,1.987082217,-1.514556959,2.498475239,0.156614963,lw:sw,1489,327.0,13120.0,641,127.0,6655.0,848,200.0,6465.0,,,
