Species,Height
Botia_lohachata,16.34
Botia_lohachata,12.76
Botia_lohachata,16.49
Botia_lohachata,15.85
Botia_lohachata,15.07
Botia_lohachata,17.54
Botia_lohachata,15.21
Botia_lohachata,15.64
Botia_lohachata,20.71
Botia_lohachata,9.94
Botia_lohachata,16.48
Botia_lohachata,12.38
Botia_lohachata,12.22
Botia_lohachata,15.01
Botia_lohachata,17.19
Botia_lohachata,17.84
Botia_lohachata,15.57
Botia_lohachata,15.28
Botia_lohachata,19.44
Botia_lohachata,16.27
Botia_lohachata,13.13
Botia_lohachata,13.11
Yasuhikotakia_modesta,16.44
Yasuhikotakia_modesta,18.27
Yasuhikotakia_modesta,19.62
Yasuhikotakia_modesta,17.59
Yasuhikotakia_modesta,16.47
Yasuhikotakia_modesta,15.84
Yasuhikotakia_modesta,15.99
Yasuhikotakia_modesta,16.68
Yasuhikotakia_modesta,15.55
Yasuhikotakia_modesta,16.75
Yasuhikotakia_modesta,18.04
Yasuhikotakia_modesta,17.52
Yasuhikotakia_modesta,20.38
Yasuhikotakia_modesta,19.47
Yasuhikotakia_modesta,17.35
Yasuhikotakia_modesta,20.3
Yasuhikotakia_modesta,17.95
Yasuhikotakia_modesta,16.38
Yasuhikotakia_modesta,17.66
Yasuhikotakia_modesta,22.27
Yasuhikotakia_modesta,18.94
Yasuhikotakia_modesta,20.31
Yasuhikotakia_modesta,19.78
