frame,x,y
00001,1181,489
00002,1182,491
00003,1185,492
00004,1188,493
00005,1191,495
00006,1193,496
00007,1198,499
00008,1200,500
00009,1202,501
00010,1204,502
00011,1206,502
00012,1208,503
00013,1211,505
00014,1213,506
00015,1216,507
00016,1218,508
00017,1221,510
00018,1223,511
00019,1225,512
00020,1229,514
00021,1230,515
00022,1233,517
00023,1236,518
00024,1237,519
00025,1240,520
00026,1242,522
00027,1244,523
00028,1245,524
00029,1247,525
00030,1250,527
00031,1252,528
00032,1254,530
00033,1256,531
00034,1259,534
00035,1262,535
00036,1264,537
00037,1266,539
00038,1268,540
00039,1269,541
00040,1271,543
00041,1273,544
00042,1275,546
00043,1277,548
00044,1279,550
00045,1281,552
00046,1284,554
00047,1286,557
