frame,x,y
00001,1297,569
00002,1298,570
00003,1300,572
00004,1301,574
00005,1303,576
00006,1304,578
00007,1305,579
00008,1307,581
00009,1308,583
00010,1310,585
00011,1311,587
00012,1313,589
00013,1314,591
00014,1315,593
00015,1317,595
00016,1319,598
00017,1320,600
00018,1321,602
00019,1323,605
00020,1324,608
00021,1325,609
00022,1326,612
00023,1328,614
00024,1329,615
00025,1331,618
00026,1333,621
00027,1335,623
00028,1338,627
00029,1340,629
00030,1341,630
00031,1342,631
00032,1344,634
00033,1345,635
00034,1347,637
00035,1349,640
00036,1350,641
00037,1352,643
00038,1353,644
00039,1356,646
00040,1357,648
00041,1358,649
00042,1359,651
00043,1361,653
00044,1363,656
00045,1366,659
00046,1368,661
00047,1369,662
00048,1371,664
00049,1374,667
00050,1375,668
00051,1377,670
00052,1379,671
00053,1381,673
00054,1382,675
00055,1385,677
00056,1388,679
00057,1390,681
00058,1392,683
00059,1396,685
00060,1398,687
00061,1399,688
00062,1403,691
00063,1406,693
00064,1407,694
