frame,x,y
00001,1175,547
00002,1175,548
00003,1176,549
00004,1177,550
00005,1179,551
00006,1180,552
00007,1181,553
00008,1182,553
00009,1183,555
00010,1184,556
00011,1185,556
00012,1186,557
00013,1188,559
00014,1189,560
00015,1190,560
00016,1190,561
00017,1192,562
00018,1193,563
00019,1194,564
00020,1195,565
00021,1197,567
00022,1198,568
00023,1200,570
00024,1201,571
00025,1203,572
00026,1204,573
00027,1206,574
00028,1207,575
00029,1208,576
00030,1210,577
00031,1211,577
00032,1213,579
00033,1215,580
00034,1215,580
00035,1217,581
00036,1219,582
00037,1220,583
00038,1222,584
00039,1222,584
00040,1225,586
00041,1227,587
00042,1229,588
00043,1231,589
00044,1233,590
00045,1234,591
00046,1236,592
00047,1236,592
00048,1238,594
00049,1239,594
00050,1242,596
00051,1243,597
00052,1246,598
00053,1247,599
00054,1249,601
00055,1252,603
00056,1254,604
00057,1255,605
00058,1257,606
00059,1259,607
00060,1261,608
00061,1262,608
00062,1264,609
00063,1265,610
00064,1267,611
00065,1268,612
00066,1270,612
00067,1271,613
00068,1274,614
00069,1275,615
00070,1276,615
00071,1277,616
00072,1278,617
00073,1280,617
00074,1282,618
00075,1283,619
00076,1285,620
00077,1288,621
00078,1290,622
00079,1292,623
00080,1293,624
00081,1294,624
00082,1297,625
00083,1298,626
00084,1300,627
00085,1302,628
00086,1303,629
00087,1305,630
00088,1307,631
00089,1308,632
00090,1310,632
00091,1311,633
00092,1312,633
00093,1313,634
00094,1314,635
00095,1316,635
00096,1318,636
00097,1319,636
00098,1321,637
00099,1322,637
00100,1323,638
00101,1324,639
00102,1325,639
00103,1326,639
00104,1328,640
00105,1329,640
00106,1331,641
00107,1333,642
00108,1334,643
00109,1336,643
00110,1337,644
00111,1339,644
00112,1340,645
00113,1342,646
00114,1342,646
00115,1344,647
00116,1345,647
00117,1345,647
00118,1347,649
00119,1348,649
00120,1349,650
00121,1350,650
00122,1351,651
00123,1353,652
00124,1353,653
00125,1355,653
00126,1355,653
00127,1356,653
00128,1358,655
00129,1359,655
00130,1361,656
00131,1361,656
00132,1362,657
00133,1363,657
00134,1365,658
00135,1366,659
00136,1368,660
00137,1369,660
00138,1371,661
00139,1372,662
00140,1374,663
00141,1375,664
