frame,x,y
00001,1330,414
00002,1328,415
00003,1327,415
00004,1325,415
00005,1323,416
00006,1321,416
00007,1320,416
00008,1318,416
00009,1316,417
00010,1314,417
00011,1313,417
00012,1311,417
00013,1309,417
00014,1307,418
00015,1306,418
00016,1303,418
00017,1302,418
00018,1299,418
00019,1298,419
00020,1296,419
00021,1295,419
00022,1294,419
00023,1293,419
00024,1291,419
00025,1290,420
00026,1289,420
00027,1288,420
00028,1286,421
00029,1284,421
00030,1283,421
00031,1281,422
00032,1279,422
00033,1278,422
00034,1277,422
00035,1276,422
00036,1274,422
00037,1273,423
00038,1270,423
00039,1269,423
00040,1270,423
00041,1269,424
00042,1268,424
00043,1267,425
00044,1265,425
00045,1263,425
00046,1262,426
00047,1260,426
00048,1260,427
00049,1258,427
00050,1256,428
00051,1255,428
00052,1254,429
00053,1254,429
00054,1253,429
00055,1251,430
00056,1250,431
00057,1249,432
00058,1247,433
00059,1247,434
00060,1245,434
00061,1244,435
00062,1243,436
00063,1243,437
00064,1241,438
00065,1240,438
00066,1240,439
00067,1239,440
00068,1238,441
00069,1237,442
00070,1235,443
00071,1235,444
00072,1234,444
00073,1234,445
00074,1234,445
00075,1233,446
00076,1231,448
00077,1231,448
00078,1230,450
00079,1230,450
00080,1229,450
00081,1228,452
00082,1227,453
00083,1227,454
00084,1226,455
00085,1225,456
00086,1225,457
00087,1224,458
00088,1224,458
00089,1224,459
00090,1223,459
00091,1223,460
00092,1222,461
00093,1222,462
00094,1222,462
00095,1221,462
00096,1221,464
00097,1220,464
00098,1220,465
00099,1220,465
