frame,x,y
00001,1126,770
00002,1126,770
00003,1127,771
00004,1128,771
00005,1128,771
00006,1129,771
00007,1130,772
00008,1131,773
00009,1131,772
00010,1133,773
00011,1134,773
00012,1134,774
00013,1135,774
00014,1135,774
00015,1136,774
00016,1137,774
00017,1138,775
00018,1139,775
00019,1139,775
00020,1140,776
00021,1141,776
00022,1143,776
00023,1143,776
00024,1145,776
00025,1146,776
00026,1147,776
00027,1148,776
00028,1149,776
00029,1149,776
00030,1151,776
00031,1152,776
00032,1153,776
00033,1154,776
00034,1156,775
00035,1158,775
00036,1159,775
00037,1161,775
00038,1163,775
00039,1162,775
00040,1164,774
00041,1166,774
00042,1167,774
00043,1169,774
00044,1172,774
00045,1173,774
00046,1174,774
00047,1175,773
00048,1177,773
00049,1180,773
00050,1181,773
00051,1183,772
00052,1184,772
00053,1186,771
00054,1188,771
00055,1190,770
00056,1191,769
00057,1192,769
00058,1193,769
00059,1195,768
00060,1196,768
00061,1197,767
00062,1200,766
00063,1202,765
00064,1203,765
00065,1206,763
00066,1208,762
00067,1210,761
00068,1211,761
00069,1212,760
00070,1214,759
00071,1216,758
00072,1217,758
00073,1219,757
00074,1221,756
00075,1223,755
00076,1225,754
00077,1227,753
00078,1230,752
00079,1232,751
00080,1233,751
00081,1235,750
00082,1236,750
00083,1239,749
00084,1241,747
00085,1244,746
00086,1245,746
00087,1247,745
00088,1249,744
00089,1251,743
00090,1252,742
00091,1254,742
00092,1256,741
00093,1257,741
00094,1258,740
00095,1260,739
00096,1262,738
00097,1262,738
00098,1264,738
00099,1265,737
00100,1266,736
00101,1268,735
00102,1269,735
00103,1270,735
00104,1272,733
00105,1273,733
00106,1275,732
00107,1276,732
00108,1276,732
00109,1279,731
00110,1281,729
00111,1284,727
00112,1286,726
00113,1288,725
00114,1291,723
00115,1293,722
00116,1294,721
00117,1297,720
00118,1299,719
00119,1301,718
00120,1303,717
00121,1305,716
00122,1306,715
00123,1308,714
00124,1310,712
00125,1312,711
00126,1314,710
00127,1315,710
00128,1317,709
00129,1318,708
00130,1320,707
00131,1321,706
00132,1322,705
00133,1324,704
00134,1326,702
00135,1329,701
00136,1330,700
00137,1331,699
00138,1333,698
00139,1335,697
00140,1337,695
00141,1338,694
00142,1339,693
00143,1341,692
00144,1342,691
00145,1343,690
00146,1345,689
00147,1346,689
00148,1349,687
00149,1349,687
00150,1351,686
00151,1352,685
00152,1353,684
00153,1355,684
00154,1357,683
00155,1358,682
00156,1359,681
00157,1361,680
00158,1362,679
00159,1365,677
00160,1367,676
00161,1369,675
00162,1370,674
00163,1372,674
00164,1373,673
00165,1374,672
00166,1376,671
00167,1378,669
00168,1380,668
00169,1381,668
00170,1384,666
00171,1385,666
00172,1388,664
00173,1389,663
00174,1392,662
00175,1393,661
00176,1395,660
00177,1396,660
00178,1398,659
00179,1399,658
00180,1400,657
00181,1402,655
00182,1404,654
00183,1406,653
00184,1407,651
00185,1410,650
00186,1411,649
00187,1412,648
00188,1414,646
