frame,x,y
00001,1170,487
00002,1172,488
00003,1174,488
00004,1176,488
00005,1179,489
00006,1181,489
00007,1184,489
00008,1186,490
00009,1188,490
00010,1191,490
00011,1193,490
00012,1195,491
00013,1197,491
00014,1199,491
00015,1202,492
00016,1204,492
00017,1209,494
00018,1211,494
00019,1214,496
00020,1216,496
00021,1219,497
00022,1221,498
00023,1223,499
00024,1226,500
00025,1229,501
00026,1231,503
00027,1233,503
00028,1236,505
00029,1239,507
00030,1242,508
00031,1244,509
00032,1247,510
00033,1250,511
00034,1252,512
00035,1254,513
00036,1257,514
00037,1259,515
00038,1261,516
00039,1264,517
00040,1266,518
00041,1269,519
00042,1271,520
00043,1273,521
00044,1275,522
00045,1277,523
00046,1279,524
00047,1281,525
00048,1283,525
00049,1285,526
00050,1288,527
00051,1290,528
00052,1292,529
00053,1294,530
00054,1297,531
00055,1299,532
00056,1301,533
00057,1303,534
00058,1304,535
00059,1307,536
00060,1309,537
00061,1311,538
00062,1314,539
00063,1316,540
