frame,x,y
00001,1367,772
00002,1366,773
00003,1365,773
00004,1365,773
00005,1363,773
00006,1363,773
00007,1362,773
00008,1361,774
00009,1360,774
00010,1359,774
00011,1358,774
00012,1357,774
00013,1356,774
00014,1356,774
00015,1355,774
00016,1354,775
00017,1353,775
00018,1352,775
00019,1351,775
00020,1350,776
00021,1349,776
00022,1348,776
00023,1347,776
00024,1346,777
00025,1344,777
00026,1343,778
00027,1341,779
00028,1339,779
00029,1338,780
00030,1337,780
00031,1336,781
00032,1335,782
00033,1334,782
00034,1333,782
00035,1333,783
00036,1333,783
00037,1332,783
00038,1331,783
00039,1330,784
00040,1329,784
00041,1328,785
00042,1327,785
00043,1326,785
00044,1325,786
00045,1324,786
00046,1323,786
00047,1322,786
00048,1321,787
00049,1321,787
00050,1320,787
00051,1319,787
00052,1318,788
00053,1317,788
00054,1316,789
00055,1315,789
00056,1314,789
00057,1312,790
00058,1312,790
00059,1310,790
00060,1309,791
00061,1308,792
00062,1306,792
00063,1305,793
00064,1304,793
00065,1303,794
00066,1303,794
00067,1302,795
00068,1301,795
00069,1300,796
00070,1299,796
00071,1298,797
00072,1297,797
00073,1296,798
00074,1295,798
00075,1294,798
00076,1294,799
00077,1292,799
00078,1291,800
00079,1290,800
00080,1289,800
00081,1288,801
00082,1287,801
00083,1287,801
00084,1286,801
00085,1285,802
00086,1284,802
00087,1284,802
00088,1283,803
00089,1282,803
00090,1281,804
00091,1280,804
00092,1279,804
00093,1278,805
00094,1277,805
00095,1276,806
00096,1275,806
00097,1274,807
00098,1272,808
00099,1272,808
00100,1270,808
00101,1269,809
00102,1268,810
00103,1267,810
00104,1266,811
00105,1266,811
00106,1264,812
00107,1264,812
00108,1264,813
00109,1263,813
00110,1262,814
00111,1261,814
00112,1260,814
00113,1259,815
00114,1258,815
00115,1257,815
00116,1256,816
00117,1255,816
00118,1254,816
00119,1253,817
00120,1253,817
00121,1252,818
00122,1251,818
00123,1250,819
00124,1250,818
00125,1249,819
00126,1248,819
00127,1247,819
00128,1246,819
00129,1245,820
00130,1245,820
00131,1244,820
00132,1243,820
00133,1242,821
00134,1241,821
00135,1240,822
00136,1239,822
00137,1238,823
00138,1237,823
00139,1235,824
00140,1234,825
00141,1233,825
00142,1232,826
00143,1232,826
00144,1231,827
00145,1230,827
00146,1229,827
00147,1228,828
00148,1226,828
00149,1226,829
00150,1225,829
00151,1225,829
00152,1224,830
00153,1222,830
00154,1222,830
00155,1221,831
00156,1221,831
00157,1220,832
00158,1220,832
00159,1218,832
00160,1217,833
00161,1216,833
00162,1215,833
00163,1214,834
00164,1213,834
00165,1213,834
00166,1212,835
00167,1211,835
00168,1210,835
00169,1209,836
00170,1209,836
00171,1207,836
00172,1207,836
00173,1206,837
00174,1206,837
00175,1204,837
00176,1204,837
00177,1203,838
00178,1202,838
00179,1201,838
00180,1200,838
00181,1199,839
00182,1198,839
00183,1198,839
00184,1197,839
00185,1196,840
00186,1195,840
00187,1194,841
00188,1194,841
00189,1193,841
00190,1191,842
00191,1190,843
00192,1189,843
00193,1188,844
00194,1188,844
00195,1187,844
00196,1186,844
00197,1186,844
00198,1185,845
00199,1184,845
00200,1183,845
00201,1183,845
00202,1182,845
00203,1181,846
00204,1180,846
00205,1179,846
00206,1179,847
00207,1178,847
00208,1177,847
00209,1176,847
00210,1175,847
00211,1174,848
00212,1173,848
00213,1172,849
00214,1172,849
00215,1171,849
00216,1170,849
00217,1169,850
00218,1168,850
00219,1168,850
00220,1167,851
00221,1165,851
00222,1164,852
00223,1163,852
00224,1162,853
00225,1161,853
00226,1160,854
00227,1159,854
00228,1159,855
00229,1158,855
00230,1157,855
00231,1156,856
00232,1154,857
00233,1153,857
00234,1152,858
00235,1150,859
00236,1149,859
00237,1149,859
00238,1148,860
00239,1148,860
00240,1147,860
00241,1147,860
00242,1146,861
00243,1146,861
00244,1145,861
00245,1144,861
00246,1143,862
00247,1142,862
00248,1141,862
00249,1140,862
00250,1139,863
00251,1139,863
00252,1137,863
00253,1137,863
00254,1137,863
00255,1136,863
00256,1135,864
00257,1134,864
00258,1133,864
00259,1133,865
00260,1131,865
00261,1131,865
00262,1130,865
00263,1129,866
00264,1128,866
00265,1127,866
00266,1127,866
00267,1126,866
00268,1124,867
00269,1123,867
00270,1121,868
00271,1121,868
00272,1120,869
00273,1119,869
00274,1119,869
00275,1117,869
00276,1117,869
00277,1115,870
00278,1114,870
00279,1112,870
00280,1111,870
00281,1110,870
00282,1110,871
00283,1109,871
00284,1109,871
00285,1108,871
00286,1108,872
00287,1107,872
00288,1106,872
00289,1105,872
00290,1104,872
00291,1104,872
00292,1102,872
00293,1101,872
00294,1100,872
00295,1099,872
00296,1098,872
00297,1097,872
00298,1096,872
00299,1096,872
00300,1095,872
00301,1094,872
00302,1093,872
00303,1092,872
00304,1091,872
00305,1090,872
00306,1089,872
00307,1088,872
00308,1087,872
00309,1087,872
00310,1086,872
00311,1084,872
00312,1084,872
00313,1083,872
00314,1082,872
00315,1080,872
00316,1079,872
00317,1079,872
00318,1078,872
00319,1077,872
00320,1076,872
00321,1075,872
00322,1075,872
00323,1075,873
00324,1074,873
00325,1073,873
00326,1072,873
00327,1072,873
00328,1071,872
00329,1070,872
00330,1070,873
00331,1069,873
00332,1069,873
00333,1069,873
00334,1068,873
