frame,x,y
00001,1136,626
00002,1136,626
00003,1137,626
00004,1138,626
00005,1138,625
00006,1140,625
00007,1140,625
00008,1141,625
00009,1142,625
00010,1142,625
00011,1143,624
00012,1144,624
00013,1146,624
00014,1146,624
00015,1147,623
00016,1148,623
00017,1149,623
00018,1150,623
00019,1151,623
00020,1152,623
00021,1152,623
00022,1154,623
00023,1155,623
00024,1157,623
00025,1158,622
00026,1158,622
00027,1159,622
00028,1159,622
00029,1160,622
00030,1161,622
00031,1162,622
00032,1163,622
00033,1164,622
00034,1165,622
00035,1166,622
00036,1167,622
00037,1168,622
00038,1169,621
00039,1169,622
00040,1170,621
00041,1171,621
00042,1171,621
00043,1172,621
00044,1173,621
00045,1174,620
00046,1175,620
00047,1176,620
00048,1176,620
00049,1177,619
00050,1178,619
00051,1178,619
00052,1179,619
00053,1180,618
00054,1181,618
00055,1181,618
00056,1183,618
00057,1183,618
00058,1184,617
00059,1184,617
00060,1185,617
00061,1185,617
00062,1186,617
00063,1187,616
00064,1188,616
00065,1188,616
00066,1189,615
00067,1189,615
00068,1190,615
00069,1191,615
00070,1191,615
00071,1192,614
00072,1193,614
00073,1193,614
00074,1194,614
00075,1194,614
00076,1196,614
00077,1196,613
00078,1197,613
00079,1198,613
00080,1199,613
00081,1200,613
00082,1200,612
00083,1200,612
00084,1201,612
00085,1201,612
00086,1202,612
00087,1203,612
00088,1203,611
00089,1204,611
00090,1204,611
00091,1205,610
00092,1205,610
00093,1205,610
00094,1206,610
00095,1206,610
00096,1207,609
00097,1207,609
00098,1208,609
00099,1209,608
00100,1209,608
00101,1209,608
00102,1210,608
00103,1210,607
00104,1211,607
00105,1212,606
00106,1212,606
00107,1213,605
00108,1213,605
00109,1213,605
00110,1213,605
00111,1214,604
00112,1214,604
00113,1215,603
00114,1216,603
00115,1216,603
00116,1216,602
00117,1217,601
00118,1218,601
00119,1218,600
00120,1219,600
00121,1219,600
00122,1219,599
00123,1220,599
00124,1220,599
00125,1221,599
00126,1221,599
00127,1221,599
00128,1222,598
00129,1222,598
00130,1222,598
00131,1223,597
00132,1224,597
00133,1225,597
00134,1225,597
00135,1225,596
00136,1226,595
00137,1227,595
00138,1227,595
00139,1227,594
00140,1228,593
00141,1228,593
00142,1228,593
00143,1229,593
00144,1229,593
00145,1230,592
00146,1229,593
00147,1229,593
00148,1230,592
00149,1230,592
00150,1231,591
00151,1231,591
00152,1231,590
00153,1231,590
00154,1232,590
00155,1232,590
00156,1232,589
00157,1232,589
00158,1233,588
00159,1233,588
00160,1233,588
00161,1234,587
00162,1234,587
00163,1234,587
00164,1235,586
00165,1235,586
00166,1235,586
00167,1235,586
00168,1235,586
00169,1235,586
00170,1235,586
00171,1235,586
00172,1235,586
00173,1236,586
00174,1236,585
00175,1236,585
00176,1237,585
00177,1237,585
00178,1237,584
00179,1237,584
00180,1237,584
00181,1237,584
00182,1238,583
00183,1238,583
00184,1239,583
00185,1239,583
00186,1239,582
00187,1239,582
00188,1239,582
00189,1239,582
00190,1239,582
00191,1239,582
00192,1239,582
00193,1240,582
00194,1240,582
00195,1240,582
00196,1240,582
00197,1240,581
00198,1240,582
00199,1240,581
00200,1240,582
00201,1241,581
00202,1241,581
00203,1241,581
00204,1241,581
00205,1241,581
00206,1241,581
00207,1242,580
00208,1242,580
00209,1242,580
00210,1242,580
00211,1242,581
00212,1242,580
00213,1242,580
00214,1242,580
00215,1242,580
00216,1242,580
00217,1242,580
00218,1242,580
00219,1242,580
00220,1242,580
00221,1242,580
00222,1242,580
00223,1242,580
00224,1242,580
00225,1242,580
00226,1242,580
00227,1242,580
00228,1242,580
00229,1242,580
00230,1241,580
00231,1241,580
00232,1241,581
00233,1241,581
00234,1241,581
00235,1241,581
00236,1242,581
00237,1242,581
00238,1241,581
00239,1241,581
00240,1242,581
00241,1241,581
00242,1242,581
00243,1241,581
00244,1241,581
00245,1241,581
00246,1241,582
