frame,x,y
00001,1235,561
00002,1234,561
00003,1234,560
00004,1233,560
00005,1233,560
00006,1233,560
00007,1232,559
00008,1232,559
00009,1232,559
00010,1231,558
00011,1231,558
00012,1231,559
00013,1230,558
00014,1231,558
00015,1231,558
00016,1231,558
00017,1231,559
00018,1230,559
00019,1230,559
00020,1230,558
00021,1230,559
00022,1230,559
00023,1229,558
00024,1229,558
00025,1229,558
00026,1229,558
00027,1228,558
00028,1228,558
00029,1227,558
00030,1227,558
00031,1227,557
00032,1227,557
00033,1227,557
00034,1226,556
00035,1225,556
00036,1225,555
00037,1224,555
00038,1224,555
00039,1223,554
00040,1223,554
00041,1222,554
00042,1222,554
00043,1221,553
00044,1221,553
00045,1220,552
00046,1219,552
00047,1219,552
00048,1219,552
00049,1219,552
00050,1218,552
00051,1218,551
00052,1217,551
00053,1217,551
00054,1217,551
00055,1216,551
00056,1215,550
00057,1215,550
00058,1215,550
00059,1215,551
00060,1215,551
00061,1215,551
00062,1214,551
00063,1214,551
00064,1213,551
00065,1213,551
00066,1212,551
00067,1212,551
00068,1212,551
00069,1211,551
00070,1211,551
00071,1211,551
00072,1211,551
00073,1211,551
00074,1211,551
00075,1210,551
00076,1210,551
00077,1210,551
00078,1210,551
00079,1209,551
00080,1208,551
00081,1207,550
00082,1207,550
00083,1206,550
00084,1206,550
00085,1205,550
00086,1205,550
00087,1204,550
00088,1204,549
00089,1205,550
00090,1204,550
00091,1204,550
00092,1204,550
00093,1203,549
00094,1203,549
00095,1203,549
00096,1203,549
00097,1203,549
00098,1202,549
00099,1202,549
00100,1201,549
00101,1201,549
00102,1203,549
00103,1203,549
00104,1200,549
00105,1200,549
00106,1200,549
00107,1199,549
00108,1199,549
00109,1199,549
00110,1198,549
00111,1199,549
00112,1199,549
00113,1197,549
00114,1196,550
00115,1197,550
00116,1195,550
00117,1194,550
00118,1195,550
00119,1195,550
00120,1194,550
00121,1192,550
00122,1192,550
00123,1191,550
00124,1190,551
00125,1190,551
00126,1191,551
00127,1189,551
00128,1190,551
00129,1188,551
00130,1188,551
00131,1189,551
00132,1187,551
00133,1187,551
00134,1186,551
00135,1186,551
00136,1186,551
00137,1185,551
00138,1184,551
00139,1184,551
00140,1184,552
00141,1183,552
00142,1183,552
00143,1183,552
00144,1182,552
00145,1182,552
00146,1181,552
00147,1181,552
00148,1180,552
00149,1180,552
00150,1180,552
00151,1179,553
00152,1179,553
00153,1179,553
00154,1179,553
00155,1180,553
00156,1180,553
00157,1178,553
00158,1179,553
00159,1179,554
00160,1179,554
00161,1177,554
00162,1177,554
00163,1178,554
00164,1176,554
00165,1177,554
00166,1177,554
00167,1174,554
00168,1174,555
00169,1174,555
00170,1173,555
00171,1173,555
00172,1172,555
00173,1172,555
00174,1172,555
00175,1171,555
00176,1171,555
