clip_name,orientation_deg,orientation_comp
Botia_lohachata_1_C_1,90,E
Botia_lohachata_1_C_2,90,E
Botia_lohachata_1_C_3,270,W
Botia_lohachata_2_C_3,270,W
Botia_lohachata_2_C_4,90,E
Botia_lohachata_2_C_5,270,W
Botia_lohachata_3_C_3,270,W
Botia_lohachata_3_C_5,90,E
Botia_lohachata_4_C_2,90,E
Botia_lohachata_4_C_3,270,W
Botia_lohachata_4_C_4,90,E
Botia_lohachata_5_C_4,270,W
Botia_lohachata_7_C_3,90,E
Botia_lohachata_7_C_4,90,E
Botia_lohachata_8_C_1,90,E
Botia_lohachata_10_C_2,90,E
Botia_lohachata_10_C_4,90,E
Botia_lohachata_10_C_5,90,E
Botia_lohachata_11_C_1,270,W
Botia_lohachata_11_C_6,90,E
Botia_lohachata_11_C_7,270,W
Botia_lohachata_11_C_9,270,W
Botia_lohachata_11_C_12,270,W
Botia_lohachata_12_C_1,270,W
Botia_lohachata_12_C_3,270,W
Botia_lohachata_12_C_4,270,W
Botia_lohachata_12_C_5,270,W
Botia_lohachata_12_C_6,90,E
Botia_lohachata_12_C_7,270,W
Botia_lohachata_12_C_8,90,E
Botia_lohachata_12_C_9,90,E
Botia_lohachata_12_C_10,270,W
Botia_lohachata_12_C_11,270,W
Botia_lohachata_12_C_12,270,W
Botia_lohachata_12_C_14,90,E
Botia_lohachata_12_C_15,315,NW
Botia_lohachata_12_C_16,90,E
Botia_lohachata_12_C_17,270,W
Botia_lohachata_12_C_18,90,E
Botia_lohachata_12_C_19,270,W
Botia_lohachata_12_C_20,90,E
Botia_lohachata_12_C_22,90,E
Botia_lohachata_12_C_23,270,W
Botia_lohachata_12_C_24,90,E
Botia_lohachata_13_C_2,270,W
Botia_lohachata_13_C_3,270,W
Botia_lohachata_13_C_4,270,W
Botia_lohachata_1_P_1,270,W
Botia_lohachata_1_P_2,90,E
Botia_lohachata_1_P_3,90,E
Botia_lohachata_1_P_4,270,w
Botia_lohachata_1_P_5,90,E
Botia_lohachata_1_P_6,90,E
Botia_lohachata_1_P_7,90,E
Botia_lohachata_1_P_8,270,W
Botia_lohachata_1_P_9,270,W
Botia_lohachata_1_P_10,270,W
Botia_lohachata_2_P_1,270,W
Botia_lohachata_2_P_2,90,E
Botia_lohachata_2_P_3,90,E
Botia_lohachata_2_P_4,270,W
Botia_lohachata_2_P_5,90,E
Botia_lohachata_2_P_6,270,W
Botia_lohachata_2_P_7,270,W
Botia_lohachata_2_P_8,90,E
Botia_lohachata_2_P_9,270,W
Botia_lohachata_2_P_10,90,E
Botia_lohachata_2_P_11,270,W
Botia_lohachata_2_P_12,90,E
Botia_lohachata_2_P_13,270,W
Botia_lohachata_3_P_1,270,W
Botia_lohachata_3_P_2,90,E
Botia_lohachata_3_P_3,90,E
Botia_lohachata_3_P_4,270,W
Botia_lohachata_3_P_5,90,E
Botia_lohachata_4_P_7,90,E
Botia_lohachata_5_P_1,90,E
Botia_lohachata_6_P_2,270,W
Botia_lohachata_6_P_3,270,W
Botia_lohachata_6_P_5,225,SW
Botia_lohachata_6_P_7,270,W
Botia_lohachata_6_P_10,90,E
Botia_lohachata_6_P_11,270,W
Botia_lohachata_7_P_1,90,E
Botia_lohachata_7_P_2,225,SW
Botia_lohachata_7_P_3,270,W
Botia_lohachata_7_P_5,270,W
Botia_lohachata_7_P_7,270,W
Botia_lohachata_7_P_9,270,W
Botia_lohachata_7_P_10,270,W
Botia_lohachata_7_P_11,270,W
Botia_lohachata_7_P_12,270,W
Botia_lohachata_8_P_1,270,W
Botia_lohachata_8_P_2,90,E
Botia_lohachata_8_P_5,270,W
Botia_lohachata_8_P_6,90,E
Botia_lohachata_8_P_8,270,W
Botia_lohachata_8_P_10,45,NE
Botia_lohachata_9_P_1,270,W
Botia_lohachata_10_P_1,90,E
Botia_lohachata_10_P_2,315,NW
Botia_lohachata_10_P_3,270,W
Botia_lohachata_10_P_4,225,SW
