Name, ,Image,Col mean,Col sd,Col CoV,Col skew,Col kurtosis,Lum mean,Lum sd,Lum CoV,Lum skew,Lum kurtosis,Col mean hrz,Col sd hrz,Col CoV hrz,Col skew hrz,Col kurtosis hrz,Col mean vrt,Col sd vrt,Col CoV vrt,Col skew vrt,Col kurtosis vrt,Lum mean hrz,Lum sd hrz,Lum CoV hrz,Lum skew hrz,Lum kurtosis hrz,Lum mean vrt,Lum sd vrt,Lum CoV vrt,Lum skew vrt,Lum kurtosis vrt,Transform,Col thresh,Lum thresh
bg_Botia_lohachata_C_10_1_L-0000,1,bg_Botia_lohachata_C_10_1_L-0000_Sony_A7_28_to_70mm_D65_to_Sony_A7_28_to_70mm_D65_WeberFiltered_itr5_rad5_fall3,6.444e-10,2.4e-08,36.758502833,38.78480695,1607.537048597,0.159813217,0.666019459,4.167486702,10.320476347,139.193700041,3.306e-10,1.7e-08,51.272944389,54.070200674,3120.894837771,3.306e-10,1.7e-08,51.272944396,54.070200674,3120.894837771,0.0319426,0.149593579,4.683199789,36.221775829,2117.5826093,0.128138488,0.627526471,4.89725205,11.224386848,161.38682765,none,0,0
bg_Botia_lohachata_C_10_1_L-0031,1,bg_Botia_lohachata_C_10_1_L-0031_Sony_A7_28_to_70mm_D65_to_Sony_A7_28_to_70mm_D65_WeberFiltered_itr5_rad5_fall3,7e-09,8.6e-08,12.380198098,12.691706116,166.845568022,0.27555833,1.217707301,4.419054582,10.490822082,149.950077495,4e-09,6.3e-08,17.050971317,17.55953338,318.502561588,4e-09,6.3e-08,16.936202054,17.451281316,314.335913867,0.050931522,0.277541412,5.449305285,33.953292613,1742.705427558,0.225264113,1.148895133,5.100213781,11.228696064,168.926097089,none,0,0
bg_Botia_lohachata_C_10_1_L-0062,1,bg_Botia_lohachata_C_10_1_L-0062_Sony_A7_28_to_70mm_D65_to_Sony_A7_28_to_70mm_D65_WeberFiltered_itr5_rad5_fall3,2e-09,3.1e-08,13.755749716,14.029122863,204.282328561,0.226959744,1.096386916,4.830754995,10.831778038,147.112120974,1e-09,2.3e-08,18.922352652,19.331233992,386.474296576,1e-09,2.3e-08,19.02641977,19.446227275,391.097704683,0.042585351,0.280661215,6.590557754,37.946991931,1914.158439699,0.184949653,1.026498774,5.550152479,11.663863648,168.73891216,none,0,0
bg_Botia_lohachata_C_10_2_L-0000,1,bg_Botia_lohachata_C_10_2_L-0000_Sony_A7_28_to_70mm_D65_to_Sony_A7_28_to_70mm_D65_WeberFiltered_itr5_rad5_fall3,0.0,0.0,,,,0.180656287,0.747772657,4.139200859,9.979443347,131.607948613,0.0,0.0,,,,0.0,0.0,,,,0.05106163,0.241532906,4.730223173,18.881372041,600.141884959,0.12983765,0.664162803,5.115332896,11.926355354,180.251326365,none,0,0
bg_Botia_lohachata_C_10_2_L-0060,1,bg_Botia_lohachata_C_10_2_L-0060_Sony_A7_28_to_70mm_D65_to_Sony_A7_28_to_70mm_D65_WeberFiltered_itr5_rad5_fall3,2e-09,3.2e-08,14.997397903,15.604807674,255.800006399,0.238822172,1.061884878,4.446341269,9.42921352,109.592883207,1e-09,2.3e-08,21.013861963,21.9073135,502.946882162,1e-09,2.3e-08,20.739591738,21.632725471,490.88693977,0.04542721,0.232557014,5.119332936,30.927375944,1363.419600961,0.193776954,1.003655694,5.179437875,10.194335558,125.662762455,none,0,0
bg_Botia_lohachata_C_10_2_L-0119,1,bg_Botia_lohachata_C_10_2_L-0119_Sony_A7_28_to_70mm_D65_to_Sony_A7_28_to_70mm_D65_WeberFiltered_itr5_rad5_fall3,0.0,0.0,,,,0.355806456,1.579544063,4.439335029,10.046283579,128.589858573,0.0,0.0,,,,0.0,0.0,,,,0.077454871,0.394152437,5.088801155,27.646574048,1110.965684488,0.279177603,1.46540829,5.249018104,11.046097428,152.425416931,none,0,0
bg_Botia_lohachata_C_10_3_L-0000,1,bg_Botia_lohachata_C_10_3_L-0000_Sony_A7_28_to_70mm_D65_to_Sony_A7_28_to_70mm_D65_WeberFiltered_itr5_rad5_fall3,5.998e-10,2.5e-08,41.585638566,43.263561838,1942.325355513,0.158451224,0.745283302,4.703550287,10.524043806,138.913631509,3.205e-10,1.8e-08,56.669721236,58.972947012,3608.4090037,2.865e-10,1.7e-08,60.333058504,62.939899158,4107.883617463,0.035063737,0.217233394,6.195386164,31.355843655,1363.535227513,0.12363914,0.678639669,5.488874056,11.569636217,164.912289993,none,0,0
bg_Botia_lohachata_C_10_3_L-0053,1,bg_Botia_lohachata_C_10_3_L-0053_Sony_A7_28_to_70mm_D65_to_Sony_A7_28_to_70mm_D65_WeberFiltered_itr5_rad5_fall3,3e-09,5.4e-08,19.807403012,20.52931558,437.272692374,0.223296729,1.129513007,5.058349988,11.320123046,168.483440068,1e-09,3.9e-08,27.626127239,28.709444995,854.888686143,1e-09,3.9e-08,27.558766743,28.60954127,848.231111197,0.050317892,0.302999925,6.021713444,28.560791286,1165.591145545,0.17337542,1.043391577,6.018105544,12.478102901,199.903540103,none,0,0
bg_Botia_lohachata_C_10_3_L-0105,1,bg_Botia_lohachata_C_10_3_L-0105_Sony_A7_28_to_70mm_D65_to_Sony_A7_28_to_70mm_D65_WeberFiltered_itr5_rad5_fall3,8e-09,9.4e-08,11.269439538,11.688639893,143.355462191,1.641751401,6.058178308,3.690070436,4.839620797,27.609840721,4e-09,6.7e-08,15.790803372,16.454062517,283.028127681,4e-09,6.7e-08,15.770348994,16.429604648,282.138475486,0.528890539,2.611983453,4.938608767,8.326532267,87.845953432,1.115297942,4.435800157,3.977233339,5.380743537,34.324778927,none,0,0
bg_Botia_lohachata_C_11_1_L-0000,1,bg_Botia_lohachata_C_11_1_L-0000_Sony_A7_28_to_70mm_D65_to_Sony_A7_28_to_70mm_D65_WeberFiltered_itr5_rad5_fall3,0.0,0.0,,,,0.192147841,0.792790632,4.125940875,10.589425097,146.604418832,0.0,0.0,,,,0.0,0.0,,,,0.047744352,0.209035572,4.378226219,26.914537765,1308.045608992,0.144764487,0.732403434,5.059275568,12.034914442,181.711749856,none,0,0
