clip_name,delay,L_vidname,L_start_frame,L_end_frame,D_vidname,D_start_frame,D_end_frame
Botia_lohachata_C_1_1,42,GX010632,3405,3558,GX010602,3363,3516
Botia_lohachata_C_1_2,42,GX010632,44505,44645,GX010602,44463,44603
Botia_lohachata_C_1_3,42,GX010632,50927,51035,GX010602,50885,50993
Botia_lohachata_C_2_1,19,GX010631,62597,62700,GX010601,62578,62681
Botia_lohachata_C_2_2,19,GX010631,74214,74329,GX010601,74195,74310
Botia_lohachata_C_2_3,19,GX010631,75433,75526,GX010601,75414,75507
Botia_lohachata_C_3_1,13,GX010635,23598,23730,GX010605,23585,23717
Botia_lohachata_C_3_1a,13,GX010635,23757,23730,GX010605,23744,23717
Botia_lohachata_C_3_2,13,GX010635,23759,23910,GX010605,23746,23897
Botia_lohachata_C_3_3,13,GX010635,68288,68330,GX010605,68275,68317
Botia_lohachata_C_4_1,22,GX010634,11613,11759,GX010604,11591,11737
Botia_lohachata_C_4_2,22,GX010634,27806,28017,GX010604,27784,27995
Botia_lohachata_C_4_3,22,GX010634,35191,35367,GX010604,35169,35345
Botia_lohachata_C_5_1,-1,GX010630,53348,53430,GX010600,53349,53431
Botia_lohachata_C_7_1,36,GX010447,35401,35734,GX010418,35365,35698
Botia_lohachata_C_7_2,36,GX010447,69646,69692,GX010418,69610,69656
Botia_lohachata_C_8_1,30,GX010448,9166,9349,GX010419,9136,9319
Botia_lohachata_C_10_1,12,GX010426,9166,9248,GX010398,9154,9236
Botia_lohachata_C_10_2,12,GX010426,55676,55815,GX010398,55664,55803
Botia_lohachata_C_10_3,12,GX010426,65177,65302,GX010398,65165,65290
Botia_lohachata_C_11_1,31,GX010427,20774,20978,GX010399,20743,20947
Botia_lohachata_C_11_2,31,GX010427,31318,31371,GX010399,31287,31340
Botia_lohachata_C_11_3,31,GX010427,34296,34351,GX010399,34265,34320
Botia_lohachata_C_11_4,31,GX010427,40822,40899,GX010399,40791,40868
Botia_lohachata_C_11_5,31,GX010427,60134,60212,GX010399,60103,60181
Botia_lohachata_C_12_1,-11,GX010428,3312,3459,GX010400,3323,3470
Botia_lohachata_C_12_2,-11,GX010428,10250,10438,GX010400,10261,10449
Botia_lohachata_C_12_3,-11,GX010428,15373,15559,GX010400,15384,15570
Botia_lohachata_C_12_4,-11,GX010428,23077,23209,GX010400,23088,23220
Botia_lohachata_C_12_5,-11,GX010428,24034,24139,GX010400,24045,24150
Botia_lohachata_C_12_6,-11,GX010428,26543,26664,GX010400,26554,26675
Botia_lohachata_C_12_7,-11,GX010428,27906,27992,GX010400,27917,28003
Botia_lohachata_C_12_8,-11,GX010428,35766,35862,GX010400,35777,35873
Botia_lohachata_C_12_9,-11,GX010428,36903,37034,GX010400,36914,37045
Botia_lohachata_C_12_10,-11,GX010428,47817,47913,GX010400,47828,47924
Botia_lohachata_C_12_11,-11,GX010428,51835,51956,GX010400,51846,51967
Botia_lohachata_C_12_12,-11,GX010428,56113,56197,GX010400,56124,56208
Botia_lohachata_C_12_13,-11,GX010428,58227,58343,GX010400,58238,58354
Botia_lohachata_C_12_13a,-11,GX010428,58227,58273,GX010400,58238,58284
Botia_lohachata_C_12_13b,-11,GX010428,58280,58343,GX010400,58291,58354
Botia_lohachata_C_12_14,-11,GX010428,59186,59248,GX010400,59197,59259
Botia_lohachata_C_12_15,-11,GX010428,61320,61426,GX010400,61331,61437
Botia_lohachata_C_12_16,-11,GX010428,62423,62490,GX010400,62434,62501
Botia_lohachata_C_12_17,-11,GX010428,65219,65298,GX010400,65230,65309
Botia_lohachata_C_12_18,-11,GX010428,68915,69050,GX010400,68926,69061
Botia_lohachata_C_12_19,-11,GX010428,71756,71804,GX010400,71767,71815
Botia_lohachata_C_12_20,-11,GX010428,76431,76527,GX010400,76442,76538
Botia_lohachata_C_12_21,-11,GX010428,77817,77883,GX010400,77828,77894
Botia_lohachata_C_13_1,27,GX010430,7638,7754,GX010402,7611,7727
Botia_lohachata_C_13_2,27,GX010430,15859,15963,GX010402,15832,15936
Botia_lohachata_C_13_3,27,GX010430,46984,47124,GX010402,46957,47097
Botia_lohachata_P_1_1,7,GX010473,563,912,GX010441,556,905
Botia_lohachata_P_1_2,7,GX010473,7073,7397,GX010441,7066,7390
Botia_lohachata_P_1_3,7,GX010473,14897,15059,GX010441,14890,15052
Botia_lohachata_P_1_4,7,GX010473,22940,23168,GX010441,22933,23161
Botia_lohachata_P_1_5,7,GX010473,23928,24307,GX010441,23921,24300
Botia_lohachata_P_1_6,7,GX010473,27506,27677,GX010441,27499,27670
Botia_lohachata_P_1_7,7,GX010473,57420,57698,GX010441,57413,57691
Botia_lohachata_P_1_7a,7,GX010473,57420,57445,GX010441,57413,57438
Botia_lohachata_P_1_7b,7,GX010473,57420,57518,GX010441,57413,57511
Botia_lohachata_P_1_8,7,GX010473,60820,60982,GX010441,60813,60975
Botia_lohachata_P_1_9,7,GX010473,69713,69900,GX010441,69706,69893
Botia_lohachata_P_1_10,7,GX010473,74630,74716,GX010441,74623,74709
Botia_lohachata_P_2_1,28,GX010474,18785,18900,GX010442,18757,18872
Botia_lohachata_P_2_2,28,GX010474,20738,20903,GX010442,20710,20875
Botia_lohachata_P_2_3,28,GX010474,30603,30742,GX010442,30575,30714
Botia_lohachata_P_2_4,28,GX010474,32020,32185,GX010442,31992,32157
Botia_lohachata_P_2_5,28,GX010474,34392,34465,GX010442,34364,34437
Botia_lohachata_P_2_6,28,GX010474,43773,43886,GX010442,43745,43858
Botia_lohachata_P_2_7,28,GX010474,47677,47819,GX010442,47649,47791
Botia_lohachata_P_2_8,28,GX010474,49746,49902,GX010442,49718,49874
Botia_lohachata_P_2_9,28,GX010474,52344,52505,GX010442,52316,52477
Botia_lohachata_P_2_9a,28,GX010474,52344,52450,GX010442,52316,52422
Botia_lohachata_P_2_10,28,GX010474,53857,53973,GX010442,53829,53945
Botia_lohachata_P_2_11,28,GX010474,63233,63376,GX010442,63205,63348
Botia_lohachata_P_2_12,28,GX010474,64190,64303,GX010442,64162,64275
Botia_lohachata_P_2_13,28,GX010474,65295,65440,GX010442,65267,65412
Botia_lohachata_P_3_1,79,GX010475,1026,1180,GX010443,947,1101
Botia_lohachata_P_3_2,79,GX010475,11160,11276,GX010443,11081,11197
Botia_lohachata_P_3_3,79,GX010475,30422,30553,GX010443,30343,30474
Botia_lohachata_P_3_4,79,GX010475,33323,33485,GX010443,33244,33406
Botia_lohachata_P_3_5,79,GX010475,35094,35225,GX010443,35015,35146
Botia_lohachata_P_4_1,15,GX010484,54972,55080,GX010452,54957,55065
Botia_lohachata_P_5_1,12,GX010487,12331,12495,GX010455,12319,12483
Botia_lohachata_P_6_1,-31,GX010501,9892,10018,GX010469,9923,10049
Botia_lohachata_P_6_2,-31,GX010501,12937,13049,GX010469,12968,13080
Botia_lohachata_P_6_3,-31,GX010501,17901,18017,GX010469,17932,18048
